ReviewerName,Description
Amazon_,"The product came bad packaged, it seems like the mouse was imported in OEM form, and the box was made locally. The box itself was in shabby condition, bandaged from all possible sides.The mouse was in a plastic bag inside the box, has a few scratches in the bottom pane.Pros:1. The wireless receiver is very small, tucked inside the mouse.2. The indicator light below the mouse is completely invisible. Hence the battery time will be more. It's claimed highly in the product details, but I have to wait and see what happens.3. The mouse is very small in size. Sometimes I think it's going to slide away. Perfect for travelling.4. Auto sensor to switch off. Starts working/wakes almost instantly once you move the mouse.5. No separate software / configuration required.6. Good amount of instructions to locate the wireless dongle embedded inside the mouse.7. Single battery operation, making it light weight. Battery comes with the mouse and a pullout tag.8. Price is competitive.9. Good build quality.Cons:1. A little small in size, sometimes it felt the mouse is going to slide away. But then again it might be because of using bugger mouse in past.2. Bad packaging. This is one point which I really disliked about the product. Hence removal of 1 star.I started writing this review with a rating of 2 stars because I was really annoyed to see the packing in which it arrived. But eventually after going over the pros and cons, I decided it's worth it to give at least 4 stars.A definitely buy product, competitively priced."
Himanshu,• delivery is fast but packaging is average• build quality of mouse is good and it comes with battery too• main advantage of this mouse is lightless (red light) optical which makes it better then other.
Peaches,"I am using it for six month continuously(finished the battery which was provided in three months only) and haven't faced any issues. However when I went to logitech site to register the product, it wasn't there in list, it is old model and that may be the reason, not sure how to the support will be in case of any issues"
TechBuff,"This was beyond my expectation that within 6 months this mouse will give up its functionalities - that too when the product is from Logitech. Let me sum it up for you:Good:- Light weight- Easy to hold- Looks & feels slimBad:- The scrolling mechanism failed within 4-5 months (its 6 months running & I am UNABLE to use the scrolling wheel any longer - as it behaves on its own mind)Conclusion:- At this price there are other brands available - which will work flawlessly for >6 months at least.- And if you need peace of mind, rather add a few extra bucks and buy the higher models (which are proven over time)- This won't be a wise purchase as it seems more like a hit or miss case. Why take that chance?"
Melvin,"My personal experience with this mouse is just amazing. Before buying it, i was not user if this mouse will perform as i expected but after using it Just enjoy using it.Look and in hand experience is amazing, u will feel good while handling itI bought this mouse because i was fed-up with wires and as this is wireless i made my plan of buying it and i must say that i had no problem with the connectivity, i can say that it has a connectivity range of more then 10 m.It also has Invisible optics which is Great and it is very durable enough, i have dropped it many times and nothing happened.If you liked the review kindly tap the ""Helpful"" button"
Pratik More,"I was using Logitech M235 for almost 2 years now, but all of a sudden pores/swells/lumps filled with oily liquid started to appear on its rubber part of the body where fingers were getting in contact with it. So being fear full of it being something like carcinogenic, I had to just change the mouse.After doing some searched I narrowed down on this one, since it doesn't seem to have rubbery body and is of plastic, so it probably won't suffer the same fate.Now to the product itself, I'll compare it with M235 quite often as I have used it for 2 years and it is in same price.1. It is larger than M235, just little but I actually appreciate it as it is much better to handle in slightly thicker hands.2. It is very smooth operating, I've used it on wooden rest as well as floor and it works quite well, almost better than M235 as I was using it for 2 years3. On off button is very convenient to use as its design is better than M2354. It is aesthetically way more appealing tan M2355. Plug and play, I used it on both Linux and Windows and it doesn't require anything other than simply putting the USB thing in USB slot, mouse starts working ASAPCons1. It is retaining some oily fingers, should be easy to clean but  still I found it more likely to get dirtier than M235 due to black body2. No light to indicate battery status, could be both +ve and -ve, but I would rather have it than not3. Packaging was very bad, that box came in almost crushed, but my product was okay so I didn't complain but it wont happen all the timeOverall it is wonderful mouse for Rs 499/-Would recommend, I can't yet comment on battery life as it is still early, but hopefully it will last for some time.Regards"
Jigar Shah,"Got it for ₹450/- in lighting deal and reviewing it after 3 months of use.PROS:Mouse is very good in terms of build quality and also connects very fast to any computer (even if you use it in office where USB ports are disabled).Both Left and Right clicks work fine and click wheel is perfectly balanced in scrolling. Wheel also have matt and rough finish for better grip and having clicky feel while scrolling which enables user to get precisely right scroll.It only needs only one regular size cell and having one out of the box. which is good.CONS:The only con i found is that the mouse feels little small in size if you have average to big palms and especially if you are using HP or Dell regular wired ones, you might need some time to adjust your grip. I personally had strains for first 2-3 days then i got used to it.Haven't tested it for Gaming Yet. (as i don't do gaming that much on PC)if you find this review helpful then please hit the Helpful Button below. Thanks."
Pravin Vibhute,"Update::Don't buy. The scroll wheel not working in just 3 months.  No way to return.Very comfortable to use for everyone.Build quality is great.Battery life also very good.Long life, good quality, comfortable for use.👌👌👍👍"
Aswini,Don't think much its best in its class.Got it @ ₹425 only. The same model would cost around ₹750 in flipkart. Package containing --AA BATTERY-UNIFIED USB 2.0 RECIVER-MOUSEUploaded pics which will help to get idea about it's size.
Rísháßh Kúmàr,Just got this mouse today....first thought why to spend 600 bucks for a wireless mouse while I can get many other options for cheaper prize but then thought to have it a try and these are the following observations1) It's quite handy and small in size with makes it convenient to use.2) Just plug the Bluetooth device and you're good to go nothing much to do.3) Comes with pre-installed battery.4) No light indicator.5) Gives a premium feel while holding.6) faster response.
Vivek,I received a used product. It had scruff marks all over the bottom of the mouse. The packet was open inside the Amazon pouch. Shocking to say the least
PraveenKumar S,"I previously used logitech M150, i used heavily for gaming and left click button started giving me issues... i taught of buying wired mouse but i am used to wireless now and not ready to go backwards hence brought this...Pros: Compact easy to use, single AA battery and good range. Cons: Compact size :-)"
Alavala Reddy,Pls don’t buy this Mouse.. I am facing many problems with Scroll Bar(Middle Ball).. it is not working properly at allCheck in Logitech support.. many of them are struggling with the same issue.. but simply they are telling.... just change laptop settingsFrom past 2 weeks I am following with customer support.. till now no one had given reply..
PV,"I received this product on 3rd March 2017, and few days back found that it is not working.Tried to contact amazon call center but as they say they are available 24/7 but you cannot contact them, tried to contact logitech customer care but their numbers are unreachable.Donno where i should contact as the product warranty is of 1 year, please respond amazon people."
Devesh Revankar,"Pros:1. Compact and lightweight, so ideal for someone who is constantly moving around2. Invisible optic, and hence no red light below the mouse3. Boasts a 1-year battery life (yet to test it though)4. AmbidextrousCons:1. Small, so if you have big hands, stay away2. Loud click sound3. Scroll wheel click a little too hardWill update after having used it for a while."
